"id","name","created_at","updated_at","position","abreviation"
43,"United Kingdom","2012-02-01 14:29:41.264933","2012-02-01 14:29:41.264933",36,"GB"
3,"Austria","2010-11-04 12:49:37","2011-07-27 11:19:28.196974",28,"AT"
26,"Ireland","2010-11-04 12:49:37","2011-10-24 13:03:32.006716",17,"IE"
24,"Greece","2010-11-04 12:49:37","2010-11-04 12:49:37",16,"GR"
28,"Latvia","2010-11-04 12:49:37","2010-11-04 12:49:37",18,"LV"
29,"Lithuania","2010-11-04 12:49:37","2010-11-04 12:49:37",19,"LT"
30,"Moldavia","2010-11-04 12:49:37","2010-11-04 12:49:37",20,"MD"
32,"Portugal","2010-11-04 12:49:37","2010-11-04 12:49:37",21,"P"
33,"Republic of Macedonia","2010-11-04 12:49:37","2010-11-04 12:49:37",22,"MK"
34,"Romania","2010-11-04 12:49:37","2010-11-04 12:49:37",23,"RO"
35,"Russian Federation","2010-11-04 12:49:37","2010-11-04 12:49:37",24,"RUS"
38,"Ukraine","2010-11-04 12:49:37","2010-11-04 12:49:37",25,"UA"
39,"Yugoslavia","2010-11-04 12:49:37","2010-11-04 12:49:37",26,"YU"
36,"Spain","2010-11-04 12:49:37","2011-05-11 09:19:15.945938",27,"ES"
27,"Italy","2010-11-04 12:49:37","2011-07-27 13:46:55.972361",29,"IT"
75,"Bahrain","2015-01-19 09:56:26.382266","2015-01-19 09:56:26.382266",67,""
76,"Gibraltar","2015-01-19 09:58:53.400567","2015-01-19 09:58:53.400567",68,""
78,"Isle of Man","2015-01-19 10:01:59.0839","2015-01-19 10:01:59.0839",70,""
80,"Libya","2015-01-19 10:04:02.453865","2015-01-19 10:04:02.453865",72,""
83,"Cambodge","2015-05-11 10:54:16.345944","2015-05-11 10:54:16.345944",75,""
84,"Brasil","2015-05-11 12:30:25.411333","2015-05-11 12:30:25.411333",76,""
85,"China","2015-05-11 13:06:36.640821","2015-05-11 13:06:36.640821",77,""
87,"Burkina Faso","2015-05-12 12:23:24.173223","2015-05-12 12:23:24.173223",79,""
1,"Germany","2010-11-04 12:49:37","2011-05-20 07:10:39.403218",1,"DE"
2,"Switzerland","2010-11-04 12:49:37","2010-11-04 12:49:37",2,"CH"
4,"Netherlands","2010-11-04 12:49:37","2010-11-04 12:49:37",3,"NL"
6,"Luxembourg","2010-11-04 12:49:37","2010-11-04 12:49:37",4,"LUX"
8,"Denmark","2010-11-04 12:49:37","2010-11-04 12:49:37",5,"DK"
11,"Poland","2010-11-04 12:49:37","2010-11-04 12:49:37",6,"PL"
12,"Liechtenstein","2010-11-04 12:49:37","2010-11-04 12:49:37",7,"FL"
13,"Czech Republic","2010-11-04 12:49:37","2010-11-04 12:49:37",8,"CZ"
14,"Slovakia","2010-11-04 12:49:37","2010-11-04 12:49:37",9,"SK"
16,"Andora","2010-11-04 12:49:37","2010-11-04 12:49:37",10,"AND"
17,"Belarus","2010-11-04 12:49:37","2010-11-04 12:49:37",11,"BY"
18,"Bosnia-Herzegovine","2010-11-04 12:49:37","2010-11-04 12:49:37",12,"BiH"
19,"Bulgaria","2010-11-04 12:49:37","2010-11-04 12:49:37",13,"BG"
20,"Croatia","2010-11-04 12:49:37","2010-11-04 12:49:37",14,"HR"
22,"Estonia","2010-11-04 12:49:37","2010-11-04 12:49:37",15,"EST"
5,"Belgium","2010-11-04 12:49:37","2011-07-27 15:38:34.793069",30,"BE"
37,"Sweden","2010-11-04 12:49:37","2011-08-01 09:47:30.451451",31,"SE"
25,"Hungary","2010-11-04 12:49:37","2011-08-08 12:18:57.427705",32,"HU"
7,"France","2010-11-04 12:49:37","2011-09-14 09:28:35.069811",33,"FR"
31,"Norway","2010-11-04 12:49:37","2011-09-16 12:17:18.749434",34,"NO"
42,"Bosnia and Herzegovina","2012-01-03 09:12:47.077659","2012-01-03 09:12:47.077659",35,"BA"
45,"Macedonia","2012-05-02 10:38:04.163688","2012-05-02 10:38:04.163688",37,"MK"
46,"Kosovo","2012-05-02 14:45:04.768559","2012-05-02 14:45:04.768559",38,"XK"
47,"Montenegro","2012-05-02 14:49:25.89668","2012-05-02 14:49:25.89668",39,"ME"
48,"Serbia","2012-05-09 09:59:40.72691","2012-05-09 09:59:40.72691",40,"RS"
49,"Slovenia","2012-05-14 12:42:59.816171","2012-05-14 12:42:59.816171",41,"SI"
50,"Afghanistan","2013-04-24 14:50:28.915369","2013-04-24 14:50:28.915369",42,""
51,"Egypt","2013-04-24 14:51:00.917806","2013-04-24 14:51:00.917806",43,""
52,"Armenia","2013-04-24 14:51:25.551895","2013-04-24 14:51:25.551895",44,""
53,"Azerbaijan","2013-04-24 14:51:48.097206","2013-04-24 14:51:48.097206",45,""
54,"Georgia","2013-04-24 14:52:25.131674","2013-04-24 14:52:25.131674",46,""
55,"Irak","2013-04-24 14:52:44.266193","2013-04-24 14:52:44.266193",47,""
56,"Iran","2013-04-24 14:52:59.233753","2013-04-24 14:52:59.233753",48,""
57,"Israel/West Bank/Gaza Strip","2013-04-24 14:54:16.861541","2013-04-24 14:54:16.861541",49,""
58,"Jordan","2013-04-24 14:54:40.03059","2013-04-24 14:54:40.03059",50,""
59,"Qatar","2013-04-24 14:55:21.155151","2013-04-24 14:55:21.155151",51,""
60,"Lebanon","2013-04-24 14:55:43.011352","2013-04-24 14:55:43.011352",52,""
61,"Oman","2013-04-24 14:56:08.039208","2013-04-24 14:56:08.039208",53,""
62,"Pakistan","2013-04-24 14:56:32.126454","2013-04-24 14:56:32.126454",54,""
63,"Saudi Arabia","2013-04-24 14:56:55.782287","2013-04-24 14:56:55.782287",55,""
64,"Serbia and Montenegro","2013-04-24 14:57:26.317401","2013-04-24 14:57:26.317401",56,""
65,"Syria","2013-04-24 14:57:47.998129","2013-04-24 14:57:47.998129",57,""
66,"Tajikistan","2013-04-24 14:58:18.289264","2013-04-24 14:58:18.289264",58,""
67,"Turkey","2013-04-24 14:58:39.633247","2013-04-24 14:58:39.633247",59,""
68,"Turkmenistan","2013-04-24 14:59:03.524733","2013-04-24 14:59:03.524733",60,""
69,"Cyprus","2013-04-24 15:01:58.328513","2013-04-24 15:01:58.328513",61,""
70,"former Yugoslavia","2013-04-25 10:54:12.969229","2013-04-25 10:54:12.969229",62,""
71,"Albania","2014-04-29 08:39:47.166986","2014-04-29 08:39:47.166986",63,""
72,"Guernsey","2014-04-29 08:40:46.290078","2014-04-29 08:40:46.290078",64,""
73,"United Arab Emirates","2014-07-15 11:50:37.828875","2014-07-15 11:50:37.828875",65,""
74,"Yemen","2014-07-15 13:02:11.632663","2014-07-15 13:02:11.632663",66,""
77,"India","2015-01-19 10:00:09.539419","2015-01-19 10:00:09.539419",69,""
79,"Jersey","2015-01-19 10:03:21.955752","2015-01-19 10:03:21.955752",71,""
81,"Malta","2015-01-19 10:04:50.76596","2015-01-19 10:04:50.76596",73,""
82,"Senegal","2015-01-19 10:07:13.599818","2015-01-19 10:07:13.599818",74,""
86,"Burma","2015-05-12 11:48:09.385586","2015-05-12 11:48:09.385586",78,""
88,"Algerie","2015-05-12 12:29:40.217432","2015-05-12 12:29:40.217432",80,""
